role,analytic_name,domain,raw_NHANES_variables,units,coding_or_formula,cycle_harmonization,sample_or_weight_requirement,missing_handling,notes
predictor,age,core clinical,RIDAGEYR,years,RIDAGEYR,2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,MEC domain; combined_mec_weight (fasting weight for Models 2 and 4),training-fold median,LOCKED_STAGE2
predictor,sex,core clinical,RIAGENDR,category,categorical recode,2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,MEC domain; combined_mec_weight (fasting weight for Models 2 and 4),training-fold explicit Missing category,LOCKED_STAGE2
predictor,race_ethnicity,core clinical,RIDRETH3 or RIDRETH1,category,categorical recode,2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,MEC domain; combined_mec_weight (fasting weight for Models 2 and 4),training-fold explicit Missing category,LOCKED_STAGE2
predictor,education,core clinical,DMDEDUC2; INDFMPIR,category or ratio,pre-specified choice after availability and collinearity audit,2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,MEC domain; combined_mec_weight (fasting weight for Models 2 and 4),training-fold median,LOCKED: use education in main Model 0; PIR reserved for sensitivity because PIR has greater missingness risk
predictor,smoking,core clinical,SMQ020; SMQ040,category,never/former/current recode,2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,MEC domain; combined_mec_weight (fasting weight for Models 2 and 4),training-fold explicit Missing category,LOCKED_STAGE2
predictor,bmi,core clinical,BMXBMI; BMXWAIST,kg/m2 or cm,pre-specified choice after collinearity audit; default BMI for main analysis unless changed before seeing results,2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,MEC domain; combined_mec_weight (fasting weight for Models 2 and 4),training-fold median,LOCKED: use BMI in main Model 0; waist circumference replacement reserved for sensitivity because TyG-WC already contains waist
predictor,mean_sbp,core clinical,BPXSY1-BPXSY4 or 2021-2023 BPXO equivalents,mmHg,mean of valid SBP readings,2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,MEC domain; combined_mec_weight (fasting weight for Models 2 and 4),training-fold median,LOCKED_STAGE2
predictor,diabetes,core clinical,DIQ010; LBXGH; LBXGLU,binary,"self-report or laboratory threshold, to be locked before analysis",2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,MEC domain; combined_mec_weight (fasting weight for Models 2 and 4),training-fold explicit Missing category,LOCKED_STAGE2
predictor,total_cholesterol,core clinical,LBXTC,mg/dL,LBXTC,2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,MEC domain; combined_mec_weight (fasting weight for Models 2 and 4),training-fold median,LOCKED_STAGE2
predictor,hdl_cholesterol,core clinical,LBDHDD or LBDHDL or LBXHDD,mg/dL,available HDL-C variable,2005-2006:Y; 2007-2008:Y; 2009-2010:Y; 2011-2012:Y; 2013-2014:Y; 2015-2016:Y; 2017-2018:Y; 2021-2023:Y,MEC domain; combined_mec_weight (fasting weight for Models 2 and 4),training-fold median,LOCKED_STAGE2
